dialog_name,q1_mean,q1_trim,q1_n,q2_mean,q2_trim,q2_n,q3_mean,q3_trim,q3_n,q4_mean,q4_trim,q4_n,q5_mean,q5_trim,q5_n,q6_mean,q6_trim,q6_n,q7_mean,q7_trim,q7_n,q8_mean,q8_trim,q8_n,q9_mean,q9_trim,q9_n,tes_overall_mean,tes_overall_trim
1,5.17,5.23,36,5.03,5.17,36,5.14,5.23,36,4.69,4.83,36,5.08,5.17,36,5.31,5.30,36,5.06,5.10,36,4.94,5.03,36,5.44,5.53,36,5.10,5.16
2,5.06,5.13,36,5.06,5.20,36,4.81,4.90,36,5.08,5.23,36,5.08,5.23,36,5.25,5.43,36,5.06,5.17,36,4.86,4.97,36,5.50,5.60,36,5.08,5.23
3,5.44,5.53,36,5.11,5.13,36,5.33,5.33,36,5.22,5.33,36,5.08,5.20,36,5.22,5.27,36,5.14,5.23,36,5.14,5.27,36,5.33,5.43,36,5.23,5.30
4,4.94,5.03,36,4.94,4.97,36,4.89,4.97,36,4.92,5.00,36,4.94,5.00,36,5.22,5.27,36,4.92,4.90,36,4.92,4.97,36,5.28,5.33,36,5.00,5.07
5,5.19,5.20,36,5.00,5.10,36,5.14,5.13,36,4.83,4.87,36,5.03,5.07,36,5.00,5.03,36,4.89,4.97,36,4.92,4.97,36,5.17,5.20,36,5.02,5.07
6,5.14,5.17,36,4.92,4.93,36,4.92,5.07,36,4.83,4.93,36,4.64,4.77,36,4.89,5.00,36,4.72,4.80,36,4.83,4.97,36,5.14,5.10,36,4.89,4.98
7,5.03,5.13,36,5.19,5.23,36,4.83,4.93,36,4.67,4.70,36,4.94,5.00,36,5.33,5.40,36,5.00,5.03,36,4.94,5.00,36,5.33,5.33,36,5.03,5.10
8,5.14,5.10,36,5.28,5.27,36,4.89,4.93,36,5.00,5.07,36,4.67,4.70,36,4.92,4.97,36,4.72,4.77,36,5.03,5.10,36,5.22,5.27,36,4.98,5.03
9,5.25,5.23,36,5.11,5.13,36,5.08,5.20,36,4.89,4.97,36,5.00,5.07,36,4.97,4.97,36,5.06,5.10,36,5.00,5.03,36,5.28,5.33,36,5.07,5.11
10,5.83,5.87,36,5.58,5.60,36,5.72,5.83,36,5.67,5.73,36,5.28,5.30,36,5.53,5.53,36,5.61,5.70,36,5.53,5.57,36,5.78,5.87,36,5.61,5.68
11,5.14,5.13,36,4.89,4.93,36,4.89,4.97,36,5.11,5.17,36,4.97,5.00,36,5.14,5.17,36,5.00,5.03,36,5.00,5.07,36,5.31,5.37,36,5.05,5.10
12,5.17,5.13,36,4.64,4.70,36,4.75,4.77,36,4.72,4.80,36,4.61,4.73,36,4.78,4.77,36,4.61,4.67,36,4.61,4.63,36,5.06,4.97,36,4.77,4.83
13,4.86,4.93,36,5.22,5.27,36,5.03,5.10,36,4.69,4.73,36,4.69,4.70,36,5.39,5.37,36,4.89,4.90,36,4.78,4.87,36,5.11,5.13,36,4.96,5.02
14,4.78,4.73,36,4.75,4.80,36,4.64,4.67,36,4.39,4.37,36,4.17,4.10,36,4.75,4.67,36,4.28,4.23,36,4.17,4.17,36,4.86,4.83,36,4.53,4.52
15,4.89,4.97,36,4.89,4.90,36,4.78,4.83,36,4.31,4.33,36,4.39,4.43,36,4.83,4.93,36,4.64,4.70,36,4.61,4.63,36,5.08,5.17,36,4.71,4.78
16,4.81,4.87,36,4.75,4.80,36,4.36,4.40,36,4.25,4.30,36,4.22,4.33,36,4.94,5.03,36,4.39,4.53,36,4.42,4.50,36,5.11,5.10,36,4.58,4.68
17,5.06,5.17,36,5.00,5.10,36,5.00,5.10,36,4.58,4.67,36,4.86,4.90,36,5.06,5.07,36,4.64,4.63,36,4.61,4.67,36,5.14,5.17,36,4.88,4.96
18,4.67,4.60,36,4.72,4.73,36,4.28,4.27,36,4.06,4.03,36,4.03,3.97,36,4.72,4.70,36,4.06,4.03,36,4.03,4.03,36,4.64,4.60,36,4.35,4.32
19,5.03,5.03,36,5.00,5.00,36,4.89,4.93,36,4.69,4.77,36,4.86,4.83,36,5.22,5.27,36,4.72,4.80,36,4.75,4.83,36,5.25,5.30,36,4.94,4.98
24,5.00,5.17,36,5.03,5.17,36,5.03,5.20,36,4.69,4.83,36,4.97,5.13,36,5.17,5.33,36,4.92,5.10,36,4.97,5.13,36,4.97,5.10,36,4.97,5.15
