rater_id,dialog_name,dialog_id,item,score
112,1,66,q1,6
15,1,66,q1,7
167,1,66,q1,6
178,1,66,q1,6
189,1,66,q1,6
208,1,66,q1,5
324,1,66,q1,5
396,1,66,q1,5
402,1,66,q1,4
458,1,66,q1,4
460,1,66,q1,4
465,1,66,q1,4
472,1,66,q1,6
479,1,66,q1,4
483,1,66,q1,7
484,1,66,q1,6
491,1,66,q1,7
492,1,66,q1,6
494,1,66,q1,6
495,1,66,q1,6
498,1,66,q1,5
500,1,66,q1,6
502,1,66,q1,5
512,1,66,q1,5
513,1,66,q1,5
514,1,66,q1,5
523,1,66,q1,5
526,1,66,q1,5
529,1,66,q1,6
532,1,66,q1,5
542,1,66,q1,4
549,1,66,q1,2
562,1,66,q1,2
566,1,66,q1,6
570,1,66,q1,5
575,1,66,q1,5
112,1,66,q2,6
15,1,66,q2,6
167,1,66,q2,5
178,1,66,q2,7
189,1,66,q2,5
208,1,66,q2,5
324,1,66,q2,5
396,1,66,q2,5
402,1,66,q2,4
458,1,66,q2,5
460,1,66,q2,4
465,1,66,q2,4
472,1,66,q2,6
479,1,66,q2,2
483,1,66,q2,7
484,1,66,q2,6
491,1,66,q2,7
492,1,66,q2,6
494,1,66,q2,6
495,1,66,q2,7
498,1,66,q2,6
500,1,66,q2,6
502,1,66,q2,5
512,1,66,q2,5
513,1,66,q2,5
514,1,66,q2,5
523,1,66,q2,4
526,1,66,q2,6
529,1,66,q2,4
532,1,66,q2,5
542,1,66,q2,4
549,1,66,q2,1
562,1,66,q2,2
566,1,66,q2,5
570,1,66,q2,5
575,1,66,q2,5
112,1,66,q3,6
15,1,66,q3,7
167,1,66,q3,6
178,1,66,q3,6
189,1,66,q3,6
208,1,66,q3,5
324,1,66,q3,5
396,1,66,q3,5
402,1,66,q3,4
458,1,66,q3,5
460,1,66,q3,5
465,1,66,q3,5
472,1,66,q3,4
479,1,66,q3,5
483,1,66,q3,7
484,1,66,q3,6
491,1,66,q3,6
492,1,66,q3,5
494,1,66,q3,6
495,1,66,q3,7
498,1,66,q3,5
500,1,66,q3,6
502,1,66,q3,6
512,1,66,q3,5
513,1,66,q3,5
514,1,66,q3,5
523,1,66,q3,4
526,1,66,q3,5
529,1,66,q3,5
532,1,66,q3,5
542,1,66,q3,4
549,1,66,q3,1
562,1,66,q3,2
566,1,66,q3,5
570,1,66,q3,6
575,1,66,q3,5
112,1,66,q4,6
15,1,66,q4,6
167,1,66,q4,6
178,1,66,q4,6
189,1,66,q4,6
208,1,66,q4,6
324,1,66,q4,4
396,1,66,q4,5
402,1,66,q4,4
458,1,66,q4,4
460,1,66,q4,4
465,1,66,q4,4
472,1,66,q4,4
479,1,66,q4,2
483,1,66,q4,7
484,1,66,q4,5
491,1,66,q4,6
492,1,66,q4,5
494,1,66,q4,5
495,1,66,q4,6
498,1,66,q4,5
500,1,66,q4,6
502,1,66,q4,5
512,1,66,q4,4
513,1,66,q4,5
514,1,66,q4,5
523,1,66,q4,4
526,1,66,q4,5
529,1,66,q4,4
532,1,66,q4,5
542,1,66,q4,3
549,1,66,q4,1
562,1,66,q4,2
566,1,66,q4,5
570,1,66,q4,5
575,1,66,q4,4
112,1,66,q5,6
15,1,66,q5,6
167,1,66,q5,5
178,1,66,q5,7
189,1,66,q5,7
208,1,66,q5,5
324,1,66,q5,5
396,1,66,q5,5
402,1,66,q5,3
458,1,66,q5,5
460,1,66,q5,5
465,1,66,q5,4
472,1,66,q5,4
479,1,66,q5,4
483,1,66,q5,7
484,1,66,q5,6
491,1,66,q5,6
492,1,66,q5,5
494,1,66,q5,6
495,1,66,q5,7
498,1,66,q5,5
500,1,66,q5,6
502,1,66,q5,5
512,1,66,q5,4
513,1,66,q5,5
514,1,66,q5,5
523,1,66,q5,5
526,1,66,q5,6
529,1,66,q5,5
532,1,66,q5,6
542,1,66,q5,4
549,1,66,q5,1
562,1,66,q5,3
566,1,66,q5,5
570,1,66,q5,5
575,1,66,q5,5
112,1,66,q6,6
15,1,66,q6,7
167,1,66,q6,4
178,1,66,q6,7
189,1,66,q6,7
208,1,66,q6,5
324,1,66,q6,5
396,1,66,q6,5
402,1,66,q6,4
458,1,66,q6,4
460,1,66,q6,5
465,1,66,q6,4
472,1,66,q6,5
479,1,66,q6,6
483,1,66,q6,7
484,1,66,q6,6
491,1,66,q6,5
492,1,66,q6,6
494,1,66,q6,6
495,1,66,q6,7
498,1,66,q6,5
500,1,66,q6,6
502,1,66,q6,5
512,1,66,q6,5
513,1,66,q6,5
